type,days_after_toll,toll_area,count(1)
start,-7,false,409
end,-24,true,1774
end,-35,false,367
end,-7,true,1324
end,-6,false,583
end,-13,false,287
end,6,true,1065
end,7,true,1176
end,3,false,426
start,-11,false,130
end,-31,false,639
start,1,true,1024
start,5,false,575
end,-2,false,464
end,0,false,350
end,-4,false,302
start,-30,true,1750
start,-23,true,1676
end,24,true,1731
end,15,true,525
end,19,false,571
end,10,true,1437
end,22,false,630
start,22,true,1421
start,20,true,879
end,-33,true,1931
end,-27,false,590
end,-29,false,526
end,-5,false,552
end,-20,false,348
end,-19,true,2509
end,-15,true,671
end,-17,true,2151
end,-8,true,496
start,3,true,1217
start,-2,false,486
start,-24,false,626
end,21,false,463
start,13,false,387
start,14,false,330
start,11,false,597
start,-21,false,533
start,-15,false,247
start,-6,true,2190
start,-10,true,840
end,-12,false,191
start,4,true,1208
end,4,true,1214
end,2,false,437
start,-33,true,1905
end,14,false,341
start,17,false,439
start,18,true,1084
start,23,false,683
start,12,false,653
start,-18,false,823
start,-17,false,770
start,-12,true,669
end,-26,false,688
end,-21,true,1381
end,-10,false,258
end,5,true,1376
end,23,false,695
start,16,true,877
start,19,false,565
start,26,true,1111
start,-19,false,916
start,-14,false,192
start,-20,true,1032
end,-34,true,1655
end,-25,true,1124
end,-30,false,670
end,-28,false,629
end,-18,true,2092
end,-9,true,1092
end,-11,true,478
start,0,false,343
start,-4,true,1061
end,-3,false,499
start,-34,true,1664
start,-25,true,1107
start,-35,false,377
end,25,true,1556
end,20,true,921
end,12,false,636
start,24,true,1731
end,-36,true,2
start,-7,true,1383
end,-35,true,974
end,-24,false,650
end,-6,true,2217
end,-13,true,898
end,-7,false,380
end,3,true,1148
end,7,false,445
end,6,false,384
start,-17,true,2157
start,-18,true,2035
start,-12,false,217
end,-26,true,1835
end,-21,false,524
end,-10,true,830
end,5,false,533
end,23,true,1533
start,19,true,1226
start,26,false,505
start,16,false,399
start,-6,false,571
start,-15,true,669
start,-21,true,1374
start,-10,false,260
end,-12,true,666
start,4,false,449
end,2,true,1242
end,4,false,450
start,-33,false,749
end,14,true,703
start,23,true,1525
start,17,true,1003
start,18,false,491
start,12,true,1557
end,-27,true,1691
end,-29,true,1604
end,-33,false,757
end,-17,false,779
end,-5,true,2028
end,-20,true,938
end,-19,false,889
end,-15,false,259
end,-8,false,144
start,3,false,441
start,-2,true,1466
start,-24,true,1775
end,21,true,998
start,11,true,1389
start,13,true,973
start,14,true,650
start,-22,false,592
end,-32,false,760
end,-14,true,548
start,6,false,354
start,8,false,632
start,-1,false,329
start,2,false,420
end,9,true,1552
end,8,true,1502
end,1,false,420
start,-31,true,1808
start,-29,true,1576
start,-27,true,1712
start,-26,false,653
start,-36,true,4
end,26,false,498
start,21,true,1036
start,15,true,511
start,-22,true,1371
end,-32,true,1937
end,-14,false,183
start,8,true,1542
start,6,true,1028
start,2,true,1239
start,-1,true,914
end,1,true,1029
end,9,false,554
end,8,false,625
start,-27,false,604
start,-31,false,634
start,-26,true,1760
start,-29,false,557
end,26,true,1183
start,15,false,257
start,21,false,502
start,-36,false,1
start,-13,true,867
start,-9,false,328
start,-5,true,1936
start,-16,false,509
start,-8,false,124
end,-23,true,1643
end,-22,true,1473
end,-16,false,527
start,-3,true,1452
start,7,true,1175
start,9,false,576
end,-1,false,364
start,-32,true,1971
start,-28,false,628
end,18,true,1105
end,13,false,386
end,11,true,1379
end,16,true,882
end,17,false,415
start,25,true,1566
start,10,true,1474
start,-5,false,546
start,-16,true,1268
start,-8,true,420
start,-13,false,276
start,-9,true,1120
end,-22,false,594
end,-23,false,756
end,-16,true,1299
start,7,false,423
start,9,true,1568
start,-3,false,493
end,-1,true,966
start,-32,false,770
start,-28,true,1938
end,17,true,956
end,18,false,493
end,11,false,584
end,16,false,397
end,13,true,949
start,10,false,554
start,25,false,665
start,-11,true,512
end,-31,true,1817
start,1,false,415
start,5,true,1407
end,0,true,909
end,-4,true,1024
end,-2,true,1456
start,-30,false,615
start,-23,false,758
end,22,true,1404
end,10,false,552
end,19,true,1245
end,24,false,716
end,15,false,257
start,22,false,642
start,20,false,451
start,-20,false,348
start,-19,true,2558
start,-14,true,537
end,-30,true,1736
end,-28,true,1946
end,-34,false,644
end,-25,false,429
end,-18,false,844
end,-9,false,316
end,-11,false,146
start,0,true,892
start,-4,false,319
end,-3,true,1374
end,-36,false,2
start,-35,true,968
start,-34,false,667
start,-25,false,438
end,12,true,1490
end,20,false,469
end,25,false,678
start,24,false,703
